1579663690	321	6	5.771441123130016	1.791759469228055
1579681394	323	6	5.777652323222656	1.791759469228055
1579681514	324	6	5.780743515792329	1.791759469228055
1579689574	327	6	5.7899601708972535	1.791759469228055
1579691502	327	9	5.7899601708972535	2.1972245773362196
1579692769	328	9	5.793013608384144	2.1972245773362196
1579698375	337	9	5.820082930352362	2.1972245773362196
1579698436	342	9	5.834810737062605	2.1972245773362196
1579704044	345	9	5.84354441703136	2.1972245773362196
1579704104	347	9	5.849324779946859	2.1972245773362196
1579706515	344	9	5.840641657373398	2.1972245773362196
1579711581	453	9	6.115892125483034	2.1972245773362196
1579711642	455	9	6.12029741895095	2.1972245773362196
1579711702	455	9	6.12029741895095	2.1972245773362196
1579714114	456	9	6.1224928095143865	2.1972245773362196
1579717189	457	9	6.124683390894205	2.1972245773362196
1579717611	458	9	6.126869184114185	2.1972245773362196
1579718757	461	9	6.133398042996649	2.1972245773362196
1579718938	462	9	6.135564891081739	2.1972245773362196
1579719179	463	9	6.137727054086234	2.1972245773362196
1579719300	466	9	6.144185634125646	2.1972245773362196
1579720747	467	9	6.1463292576688975	2.1972245773362196
1579721290	469	9	6.150602768446279	2.1972245773362196
1579721471	473	9	6.159095388491933	2.1972245773362196
1579731206	474	9	6.161207321695077	2.1972245773362196
1579732237	543	17	6.297109319933935	2.833213344056216
1579734121	544	17	6.298949246855942	2.833213344056216
1579737700	548	17	6.306275286948016	2.833213344056216
1579738929	549	17	6.3080984415095305	2.833213344056216
1579767192	550	17	6.309918278226516	2.833213344056216
1579767313	553	17	6.315358001522335	2.833213344056216
1579769740	560	17	6.327936783729195	2.833213344056216
1579769800	561	17	6.329720905522696	2.833213344056216
1579774266	561	17	6.329720905522696	2.833213344056216
1579774387	562	17	6.331501849893691	2.833213344056216
1579776693	569	17	6.343880434126331	2.833213344056216
1579778331	575	17	6.354370040797351	2.833213344056216
1579780516	580	17	6.363028103540465	2.833213344056216
1579780577	585	17	6.371611847231857	2.833213344056216
1579783772	596	17	6.39024066706535	2.833213344056216
1579783921	598	17	6.393590753950631	2.833213344056216
1579784044	599	17	6.395261598115449	2.833213344056216
1579786595	599	17	6.395261598115449	2.833213344056216
1579787992	616	17	6.423246963533519	2.833213344056216
1579797716	617	17	6.424869023905388	2.833213344056216
1579800086	618	17	6.42648845745769	2.833213344056216
1579803252	621	17	6.431331081933479	2.833213344056216
1579803313	629	17	6.444131256700441	2.833213344056216
1579803374	631	17	6.447305862541213	2.833213344056216
1579805624	632	17	6.448889394146858	2.833213344056216
1579806719	634	17	6.452048954437226	2.833213344056216
